GEOID,tarea,n_medincome,n_pop_total,n_pop_black,n_pop_hisp,p_pct_black,p_pct_hisp,p_renter,p_poverty,p_unemp,p_overcrowding,n_med_rent,p_mobility,n_pop_25,n_pop_65p,p_pct_65p,n_edu_yes_hs,n_edu_no_hs,p_edu_no_hs,name,n_commhlthcntr,r_commhlthcntr_100k,i_gini
13315,989694417.804091,30784,7236,2010,190,27.77777777777778,2.6257600884466554,24.178484953303357,25.49293805062229,9.177430319510536,1.3363879343260787,475,87.64633738432379,2626,1321,14.273365748244192,4660,1726,27.027873473222673,county2010,1,13.819789939192924,0.452
13299,2351675329.62568,35517,33903,9388,1062,27.690764829071174,3.1324661534377487,35.07397099750988,20.487353853495584,7.529775923558307,1.8080134834903854,556,82.3125808447219,12021,5531,15.231879268561357,19014,4866,20.376884422110553,county2010,2,5.8991829631596024,0.465
13059,313479734.001727,34253,107531,29435,11434,27.373501594888914,10.633212747951754,57.79715506231559,33.47976482023232,6.488542895890942,2.47498808956646,730,72.8602078680337,55849,9952,8.52682625906061,49864,9307,15.728988862787514,county2010,6,5.579786294184933,0.531
13169,1024124505.04528,50717,28348,6887,233,24.2944828559334,0.8219274728375899,19.421877952012093,13.068285060144637,6.110458284371328,0.9279156085172885,752,87.3449840963511,9692,3586,12.508284209424815,16090,2755,14.619262403820642,county2010,2,7.055171440666008,0.406
13045,1304927924.04001,45559,106944,18789,6255,17.569008078994614,5.848855475763016,32.98542884119733,17.30780120425074,10.395052612146944,2.054742396184775,749,78.57162784209793,42597,12108,10.95478932749464,52961,14222,21.169045740737985,county2010,1,0.9350688210652304,0.429
13247,342131624.34226,55779,84351,39237,7643,46.516342426290144,9.060947706606916,29.616678322842777,12.336060094079324,12.086960484936876,2.3073421798956617,933,81.65833434946957,30595,9066,10.638972011969724,45098,8064,15.168729543659005,county2010,1,1.1855224004457565,0.404
13083,451072817.220123,39760,15640,92,191,0.5882352941176471,1.221227621483376,24.73374662215864,15.501734549659515,8.927716610818573,0.8463749600766528,576,87.08063925826522,5681,2397,14.411110443095051,8496,2249,20.93066542577943,county2010,4,25.575447570332482,0.427
13213,897955838.60972,38226,39374,239,4975,0.6069995428455326,12.635241529943618,29.197443181818183,17.08209294111711,9.810039962774402,7.208029197080292,611,89.0000253865096,14244,4286,10.815584939941456,16850,8602,33.7969511236838,county2010,2,5.079494082389394,0.409
06029,21141169401.0028,47089,802874,41377,383681,5.153610653726488,47.788445011296915,39.97564903185264,20.571305852972266,11.29284256457175,8.681875536671008,810,79.42292286243617,347884,75437,8.984542019053608,338695,137473,28.870692696695283,county2010,56,6.974942519000491,0.452
55001,1783340156.8536,39885,19443,105,323,0.540040117265854,1.661266265494008,16.882067851373183,12.633614985238726,8.403545245650509,1.316775505834493,589,88.04243471582181,4656,4899,23.46826347305389,13592,2595,16.031383208747762,county2010,1,5.143239212055753,0.404
55121,1921741386.91362,46582,28304,48,1477,0.1695873374788016,5.218343697003957,25.728913571676504,11.525350748143097,5.2614527311605,1.6171100678142931,555,92.2205652606164,8959,4567,15.848833981121599,16832,2816,14.332247557003257,county2010,1,3.5330695308083664,0.408
55123,2114481704.79603,43632,29383,58,297,0.1973930504032944,1.0107885512030765,21.10020661157025,13.635265283578999,5.088237313740301,2.5535489290214195,549,89.66984693527353,9836,4962,16.666106875356867,16828,2845,14.461444619529304,county2010,6,20.419970731375287,0.411
55141,2096442790.85862,47204,73858,269,1300,0.36421240759294865,1.7601343117874841,26.802329261345655,8.352985823100486,6.417261091718521,0.9600050032834048,559,88.22529542147703,22643,12762,17.073138102181968,46123,5580,10.792410498423688,county2010,4,5.415797882423028,0.405
55107,2410975023.87331,38352,14581,44,115,0.3017625677251217,0.788697620190659,23.45956354300385,16.3787764090565,7.305239811477683,1.8768768768768769,546,85.26365989916881,4214,2964,20.088105726872246,8990,1555,14.746325272641062,county2010,3,20.574720526712845,0.409
55133,1503735845.9199,75064,384241,4106,13102,1.0686001754107448,3.4098391374163612,23.18374458775211,4.420765671896093,4.797418197454261,0.7078545391999259,869,89.075777554523,120691,55688,14.282966264930455,250741,13230,5.011914187543328,county2010,2,0.5205066611839965,0.417
55113,3497164344.57919,37091,16232,20,193,0.1232134056185313,1.189009364218827,24.06933788007957,20.12655894820913,8.722519310754604,2.1172638436482085,518,87.71289537712896,4515,3429,20.71027360028991,10590,1489,12.3271794022684,county2010,5,30.803351404632824,0.463
55131,1128520312.68556,64434,130744,1028,2620,0.7862693507923881,2.0039160496848805,21.5889933146013,5.39598978090888,5.271888168015518,0.8123129542539547,770,89.01844112666429,41104,17803,13.498676897647229,81779,6944,7.826606404201842,county2010,1,0.7648534540781986,0.385
55033,2237400905.04102,48376,40442,147,438,0.3634835072449434,1.0830324909747293,32.30318206803884,15.270144796607193,7.712125691599442,0.6934812760055479,653,79.679194255339,17668,5323,12.13717308525435,23228,2369,9.25499081923663,county2010,2,4.9453538400672565,0.385
55125,2636205592.72117,41631,21240,15,168,0.07062146892655367,0.7909604519774012,20.045558086560362,11.900895466988354,8.872924052994962,1.0132575757575757,630,90.13699898176432,4954,5556,25.92627158189454,15411,1403,8.34423694540264,county2010,0,0,0.443
55067,2299604604.86954,41034,19696,20,215,0.10154346060113728,1.091592201462226,23.5938045883312,11.018963337547408,7.5341149336921,3.759227711527541,509,90.52125582094035,5552,3986,19.952945887770937,12639,1841,12.714088397790055,county2010,4,20.30869212022746,0.408
36007,1853174334.70611,44457,190459,8403,5156,4.4119731805795475,2.7071443197748595,35.18079034162133,15.482640453559414,6.8137176300809745,1.310546246565849,613,86.64666317612469,66624,32844,16.372881355932204,118080,15659,11.708626503862,county2010,2,1.0500947710530875,0.452
36099,1011232361.66386,46707,32442,283,481,0.8723259971641699,1.482645952777264,26.64078249832002,13.856619245822204,4.8931349133443565,1.8829089800274432,661,84.63967843812806,10837,5472,15.52296388754929,20300,3967,16.347302921663164,county2010,1,3.0824240182479503,0.398
55039,1983515842.69152,51549,98044,783,3663,0.7986210272938681,3.7360776794092447,27.74160257512839,9.197026853894883,6.5627635648017995,1.2572868293646873,635,86.93813484763658,32276,15225,14.980370548935877,60591,7883,11.512398866723135,county2010,0,0,0.407
55035,1671180933.15459,45846,93940,596,1429,0.6344475196934213,1.5211837342984884,36.47735041652951,14.72364092797784,5.6151721206969825,1.2334352701325177,657,80.10691301640026,37888,12435,12.594190568789498,54122,4803,8.151039456936784,county2010,3,3.193527783691718,0.449
55101,881818820.236004,53855,190413,19791,20171,10.393723117644278,10.59328932373315,30.137076839698086,11.481489307750824,8.000555594138483,1.4534191088873005,708,87.91688338707999,64388,25739,13.17192745435192,113116,16452,12.697579649296122,county2010,0,0,0.423
36093,542307712.396157,55188,150293,13749,7597,9.1481306514608125,5.05479297106319,35.232007124002166,11.132562426680074,6.360135669293347,1.194885888397658,789,88.72226109226281,49801,23083,14.918533933961106,93188,10367,10.011105209791898,county2010,5,3.326834915797808,0.422
36063,1355383427.71597,45964,212150,14063,3769,6.628800377091681,1.7765731793542305,30.853836300189936,12.7600941585759,7.539590503845405,0.8258462655413377,614,88.95521411309359,66825,34388,15.885877423557183,130937,17236,11.632348673510018,county2010,3,1.4140938015555031,0.427
55119,2549639773.17496,44489,20458,58,227,0.2835076742594584,1.1095903802913285,20.20743919885551,12.344464663355136,7.054054054054054,1.2923704795374673,528,89.47394248699578,6491,3334,16.11484363671516,11864,2162,15.414230714387566,county2010,1,4.888063349301007,0.41
36083,1723361074.86335,54152,153822,9707,4958,6.310540754898519,3.2232060433488057,36.11325770455318,11.71942497450322,7.304459504397583,1.4358134701974243,779,85.73679811661424,52423,21607,13.552741345677386,94833,11471,10.790751053582179,county2010,1,0.6501020660243658,0.412
36111,3006354945.03845,57584,170720,7909,12405,4.632731958762887,7.266283973758201,31.341750059817876,11.26223406699444,6.449231664968497,1.6437736062582224,939,86.17850713962298,55044,27044,14.819198544601711,110890,15779,12.45687579439326,county2010,11,6.443298969072165,0.43
55081,2352273511.31646,47333,43814,434,1335,0.990550965444835,3.046971287716255,28.61418047882136,14.125539931991545,4.632045929018789,2.118692991571412,634,86.63179241369775,14938,6223,13.930114386766055,25466,3562,12.270910844701667,county2010,7,15.976628474916692,0.404
36085,153166164.957541,71084,460892,47770,74759,10.364684134244031,16.22050285099329,35.876289905507626,10.342621036636988,6.135916561257883,3.3163094491687923,1107,93.02698148705927,153538,59344,12.660593518656796,272306,38840,12.482885847801354,county2010,17,3.6884996919017903,0.429
55007,3914183104.95226,43176,14888,15,110,0.10075228371843095,0.738850080601827,18.262040083757107,12.302968270214944,6.789382419634521,1.9027181688125894,528,90.61958694203864,3604,3112,20.727321166910883,10459,933,8.18995786516854,county2010,6,40.300913487372384,0.406
36075,2628171144.75797,45333,117155,602,1702,0.5138491741709701,1.4527762366096197,27.793103448275865,15.278996541578486,10.062663704784324,1.2481147128898993,665,85.60924369747899,43314,15400,12.611683004528741,67410,10717,13.717408834333842,county2010,16,13.657120908198541,0.42
55075,3702247583.2027,39698,40676,65,395,0.1597993903038647,0.9710886026157931,22.727272727272727,13.621858795372956,7.775861265209081,1.215377392937249,530,87.47566047260752,11767,8254,19.770533425950322,26278,3719,12.397906457312398,county2010,2,4.916904317041991,0.43
55017,2696907696.65126,48672,59873,184,475,0.30731715464399645,0.7933459155211865,25.428103236378536,10.669740595767266,6.963688485427616,0.9495107955249144,616,87.11824201891082,19435,8935,14.315469037891532,37064,4884,11.64298655478211,county2010,2,3.3404038548260484,0.406
36113,2412840541.93383,51619,64969,463,847,0.7126475703797196,1.3036986870661393,30.72883172561629,10.015316807852209,5.916776944566975,1.1250131426769003,781,87.14553730700622,18502,11247,17.11689774301064,41824,4852,10.395063844373983,county2010,16,24.627129861934154,0.416
55078,945239376.822149,31076,4173,14,124,0.3354900551162233,2.971483345315121,28.90743550834598,31.616090331686664,21.333333333333332,3.616042077580539,336,90.28281363306743,1812,482,11.389413988657845,2033,447,18.024193548387096,county2010,0,0,0.442
55025,3207041318.02879,60519,475298,22973,25153,4.833388737171206,5.292048357030747,40.36368098159509,11.58747927924049,4.993811341805694,1.6289597368407653,832,79.42018057935346,169108,50144,10.27387296572439,290693,17477,5.671220430281987,county2010,5,1.0519716051824328,0.439
36019,2894381015.02724,47489,74975,798,953,1.0643547849283095,1.2710903634544848,31.68260401494522,13.342060619013905,8.125645185075948,1.745234415249871,659,84.29262912811714,26977,10952,13.33528151178648,46479,8731,15.814164100706394,county2010,2,2.66755585195065,0.419
55137,1650880927.78923,42540,23235,51,1181,0.21949644932214332,5.08284914998924,18.132475625691026,13.136613902271163,7.920290466942498,2.081316553727009,594,87.90956749672347,6373,4883,19.933866753755716,15295,2830,15.613793103448275,county2010,3,12.911555842479018,0.389
55139,1498493211.64608,50974,158755,1595,4670,1.0046927655821865,2.941639633397373,33.648618784530385,10.505179426685489,5.9609682701243525,0.9026299217320899,623,84.31937076559302,56002,22336,13.375330850210187,98080,11173,10.226721463026188,county2010,2,1.259802840855406,0.429
55091,644116839.40146,48446,7333,15,54,0.2045547524887495,0.7363971089594982,20.419534578826614,9.473827699018539,5.802803048930415,1.2289780077619663,540,92.7479892761394,2192,1337,17.900656044985944,4616,598,11.469121595703875,county2010,0,0,0.412
55129,2210079659.41036,41641,15706,24,164,0.152807844135999,1.0441869349293265,20.89358010410642,13.07671852147321,7.238292904397458,2.040253653156879,586,89.51490651844367,4109,3380,21.24316510590158,10551,1213,10.311118667120027,county2010,4,25.467974022666496,0.408
55103,1526277120.38297,43900,17685,23,307,0.13005371783997738,1.7359344076901329,25.4048169819023,11.504277302521942,5.521913168428616,1.6600265604249669,568,86.78593323301565,5577,3245,18.00676987958493,10871,1688,13.44056055418425,county2010,0,0,0.384
36013,2809275269.73222,40639,128391,2297,6662,1.7890662118061236,5.188837223792945,32.01828773689256,17.135282215865484,8.122951814540599,1.1154712593561515,581,86.65316311887108,44714,22381,16.590193098847337,77514,12412,13.80245980028023,county2010,8,6.230966344993029,0.427
36035,1380150951.43721,43240,54057,684,818,1.2653310394583495,1.5132175296446344,29.054713132925425,17.163425579655947,9.372541674470874,1.1779535773276537,635,86.22770819320475,16717,8901,16.028884767067044,32217,6485,16.75623998759754,county2010,0,0,0.439
36055,1725611585.21542,51303,718061,108810,47166,15.15330870218547,6.568522729963053,35.71542696606773,13.74625631757338,7.24834205563913,1.0549631690104568,757,85.56229531228475,252539,103594,13.917489762797846,430566,56680,11.632727616029685,county2010,39,5.431293441643537,0.452
36033,4392443587.11173,42050,45199,156,410,0.34514037921192947,0.9070997145954557,28.576676813267554,14.366089841298306,7.270300333704116,1.684540936437353,583,81.79084073820916,16082,6880,13.33359173627396,29624,5937,16.69525603891904,county2010,4,8.849753313126397,0.42
36015,1063912930.62756,44502,83914,3909,1290,4.65834068212694,1.5372881759897037,32.29090293835655,15.238599956640089,7.891833525034624,1.039019707493365,647,84.07129092215241,27816,13943,15.696273781380164,52991,7500,12.398538625580665,county2010,1,1.1916962604571346,0.443
55053,2590702967.34069,43191,19116,22,294,0.11508683825068006,1.5379786566227245,24.55692974627056,16.41142493773515,4.670081349804158,2.152618212601282,547,87.2320318328774,6136,3303,16.152379089442025,12110,1975,14.02200922967696,county2010,1,5.231219920485457,0.419
55135,1981868375.79885,46876,50775,97,983,0.19103889709502708,1.9359921221073362,24.440080422686677,10.598324297683588,7.089104591558512,1.6073585431571122,617,87.84020648342546,15341,9462,18.05380652547224,32431,4336,11.793184105311829,county2010,1,1.9694731659281142,0.393
55045,1513756596.24721,53088,36437,115,834,0.31561325026758513,2.2888821802014436,24.714112740481635,9.026233881725211,5.350830468258196,0.9971803864933636,644,89.93982752405513,11343,5497,14.92047120134629,22531,2489,9.948041566746603,county2010,0,0,0.408
55105,1880606000.15712,49716,157397,7315,10498,4.647483751278614,6.669758635806273,29.449169382402037,12.365423274514184,8.964075583375415,1.0655292501357871,698,86.22323277745758,53978,21759,13.571299374419171,91925,13233,12.58392133741608,county2010,2,1.2706722491534146,0.404
55029,1263301916.52574,47775,27437,109,546,0.3972737544192149,1.9900134854393703,22.545425565827223,7.708122925984706,6.307112275544763,0.7453960830166618,695,90.16061351468673,6632,6245,22.47615619938816,19734,1589,7.452047085306946,county2010,0,0,0.411
