GEOID,tarea,n_medincome,n_pop_total,n_pop_black,n_pop_hisp,p_pct_black,p_pct_hisp,p_renter,p_poverty,p_unemp,p_overcrowding,n_med_rent,p_mobility,n_pop_25,n_pop_65p,p_pct_65p,n_edu_yes_hs,n_edu_no_hs,p_edu_no_hs,spatial_level,n_commhlthcntr,r_commhlthcntr_100k,i_gini,d_pop_sqkm,close_4_0005,close_4_0010,close_4_0914,close_4_0514,close_4_0016,persistence_0005,persistence_0010,persistence_0914,persistence_0514,persistence_0016,close_4_0005_r_100k,close_4_0005_r_sqkm,close_4_0010_r_100k,close_4_0010_r_sqkm,close_4_0914_r_100k,close_4_0914_r_sqkm,close_4_0514_r_100k,close_4_0514_r_sqkm,close_4_0016_r_100k,close_4_0016_r_sqkm,persistence_0005_r_100k,persistence_0005_r_sqkm,persistence_0010_r_100k,persistence_0010_r_sqkm,persistence_0914_r_100k,persistence_0914_r_sqkm,persistence_0514_r_100k,persistence_0514_r_sqkm,persistence_0016_r_100k,persistence_0016_r_sqkm
05001,2677398279.08756,37230,18772,4563,444,24.3074792243767,2.36522480289793,34.6658338538414,18.9445196211096,7.35943775100402,1.37771275298708,572,81.0147814236293,5873,3115,16.3783584836216,10476,2726,20.6483866080897,county2010,2,10.6541657788195,0.467,7.01128410615,14,35,16,35,51,67,58,57,57,55,74.5791604517366,0.00522895682325272,186.447901129342,0.0130723920581318,85.2333262305561,0.00597595065514597,186.447901129342,0.0130723920581318,271.681227359898,0.0190483427132778,356.914553590454,0.0250242933684237,308.970807585766,0.0216628211249041,303.643724696356,0.0212893242089575,303.643724696356,0.0212893242089575,292.989558917537,0.0205423303770643
05119,2091839153.8969,45121,374810,130659,20572,34.860062431632,5.48864758144126,40.275363414204,16.3787941720654,7.21058622366857,2.03080690899716,729,79.6470025321628,127699,45908,11.9943147972034,220837,29540,11.7982083018808,county2010,15,4.00202769403164,0.482,179.177256196665,180,369,182,353,676,746,812,844,851,778,48.0243323283797,0.0860486809727587,98.4498812731784,0.176399795994155,48.5579360209173,0.0870047774280116,94.181051732878,0.168751024352132,180.358048077693,0.323160601875472,199.034177316507,0.356623977809322,216.643099170246,0.388175160832667,225.180758250847,0.403472704116713,227.048371174729,0.406819041710098,207.571836397108,0.371921521093368
05061,1541856187.98574,34554,13608,2846,1294,20.9141681363904,9.50911228689007,29.8042870456664,21.9980928629062,6.5580985915493,4.7111283443195,519,85.9759671746776,4771,2104,15.2585394154761,6997,1962,21.8997655988392,county2010,0,0,0.466,8.82572584008454,14,28,19,33,50,54,51,42,42,39,102.880658436214,0.00907996485605405,205.761316872428,0.0181599297121081,139.623750734862,0.0123228094475019,242.504409171076,0.021402774303556,367.430922986479,0.0324284459144788,396.825396825397,0.0350227215876371,374.779541446208,0.0330770148327683,308.641975308642,0.0272398945681622,308.641975308642,0.0272398945681622,286.596119929453,0.0252941878132934
05139,2732956758.99169,36464,41115,13479,1337,32.7836556001459,3.25185455429892,28.564686449177,21.377539899736,8.70017520805957,2.08494668493477,562,87.145865237366,13290,6481,15.5647349840294,23175,5336,18.7155834590158,county2010,2,4.86440471847258,0.471,15.0441458192588,17,79,63,117,166,201,186,168,174,146,41.3474401070169,0.00622036918223033,192.143986379667,0.0289064214938939,153.228748631886,0.0230519563812065,284.567676030646,0.0428107761365264,403.745591633224,0.0607400755441315,488.872674206494,0.0735467179781351,452.38963881795,0.0680581569349907,408.609996351697,0.0614718836832174,423.203210507114,0.0636673081004751,355.101544448498,0.0534219941532722
05099,1607447448.85165,38375,8840,2715,179,30.7126696832579,2.02488687782805,28.0497700838518,19.9955713020372,10.7781649245064,2.0888418826018,561,84.6701524084993,2842,1588,17.6503278870735,4873,1350,21.6937168568215,county2010,0,0,0.461,5.49940217723152,10,31,12,33,48,44,30,25,25,18,113.122171945701,0.00622104318691349,350.678733031674,0.0192852338794318,135.746606334842,0.00746525182429619,373.303167420815,0.0205294425168145,542.986425339367,0.0298610072971848,497.737556561086,0.0273725900224194,339.366515837104,0.0186631295607405,282.805429864253,0.0155526079672837,282.805429864253,0.0155526079672837,203.619909502262,0.0111978777364443
05035,1648210574.33065,33716,50201,25676,916,51.1463915061453,1.8246648473138,42.1580994428677,27.3652658472309,12.5742616574775,3.52620612277609,644,76.5270471065419,19361,5477,10.7598915563239,23481,7304,23.7258405067403,county2010,8,15.9359375311249,0.466,30.4578800681381,23,70,54,103,144,143,129,120,121,112,45.815820401984,0.0139545276302698,139.439453397343,0.0424703014834299,107.567578335093,0.0327628040015031,205.175195713233,0.062492015039904,286.846875560248,0.0873674773373415,284.854883368857,0.0867607587447211,256.966992689389,0.0782666984480351,239.039062966873,0.0728062311144513,241.031055158264,0.0734129497070717,223.103125435748,0.0679524823734879
05049,1606641607.35091,30598,12080,30,66,0.248344370860927,0.54635761589404,19.6882217090069,20.2848764139087,9.83096949679425,0.373211693966411,458,90.3097893432466,3360,2742,22.3928133932217,6996,1816,20.6082614616432,county2010,1,8.27814569536424,0.421,7.5187894703648,11,21,7,18,32,35,26,27,27,28,91.0596026490066,0.00684657981572954,173.841059602649,0.0130707432845746,57.9470198675497,0.00435691442819152,149.006622516556,0.0112034942439211,264.900662251656,0.0199173231003041,289.735099337748,0.0217845721409576,215.23178807947,0.0161828250189971,223.509933774834,0.0168052413658816,223.509933774834,0.0168052413658816,231.788079470199,0.0174276577127661
05115,2151697602.48095,39841,58424,1560,3779,2.67013556072847,6.46823223332877,31.5120113047574,18.174793956044,6.61444734551784,2.07676946971378,590,82.2467604497555,23283,8113,13.1376105191567,30896,6812,18.0651320674658,county2010,3,5.13487607832398,0.434,27.1525143368827,25,63,45,74,114,139,137,138,140,133,42.7906339860331,0.0116187330279007,107.832397644804,0.0292792072303096,77.0231411748597,0.0209137194502212,126.660276598658,0.0343914497625859,195.125290976311,0.052981422607227,237.915924962344,0.0646001556351276,234.492674243462,0.0636706569928956,236.204299602903,0.0641354063140116,239.627550321786,0.0650649049562436,227.646172805696,0.0618116597084315
05041,2122562987.12558,29051,12952,6196,541,47.8381717109327,4.1769610870908,40.4059387333208,27.5709684667815,13.0942722699984,1.37683892870615,522,83.7019524100061,4471,1970,15.1445264452645,6273,2377,27.4797687861272,county2010,1,7.72081531809759,0.47,6.10205684286424,12,36,34,58,79,76,63,53,53,47,92.6497838171711,0.00565354247331462,277.949351451513,0.0169606274199439,262.507720815318,0.0160183703410581,447.80728844966,0.0273254552876873,609.94441012971,0.0372191546159879,586.781964175417,0.0358057689976592,486.411365040148,0.0296810979849017,409.203211859172,0.0249698125904729,409.203211859172,0.0249698125904729,362.878319950587,0.0221430413538156
05051,1902666890.56417,36844,93858,7110,4134,7.57527328517548,4.40452598606405,30.6288725179295,17.748801698532,8.02727486480132,2.03507198724655,662,82.1331636980492,27437,20098,20.9301841206365,57846,10187,14.9736157453001,county2010,5,5.32719640307699,0.47,49.3297068790478,50,108,49,108,179,222,194,187,189,173,53.2719640307699,0.0262789037050906,115.067442306463,0.0567624320029956,52.2065247501545,0.0257533256309888,115.067442306463,0.0567624320029956,190.713631230156,0.0940784752642242,236.527520296618,0.116678332450602,206.695220439387,0.101962146375751,199.237145475079,0.0982830998570387,201.36802403631,0.0993342560052423,184.320995546464,0.0909250068196134
