geoid,2000_2006,2007_2024,2010_2015
010379612004,0,3,0
010399616001,,0,0
010399616002,,0,0
010399616003,0,2,0
010399616004,0,3,1
010399617001,0,2,1
010399617002,2,6,1
010399617003,0,0,0
010399618001,0,1,0
010399618002,0,4,0
010399619001,0,1,1
010399619002,7,12,0
010399620001,0,4,1
010399620002,2,0,0
010399620003,1,4,1
010399620004,1,6,2
010399621001,1,1,0
010399621002,,0,0
010399623001,0,0,0
010399623002,0,3,0
010399623003,,0,0
010399624001,1,4,0
010399624002,0,3,1
010399624003,1,3,1
010399624004,3,7,0
010399625002,1,1,0
010399626001,0,0,0
010399626002,0,1,0
010399627001,0,0,
010399627002,1,3,1
010399628001,0,3,0
010399628002,0,1,
010399629001,0,3,0
010399629002,0,2,0
010399630001,2,2,1
010399630002,1,7,2
010399630003,1,7,4
010399630004,1,8,6
010419634001,0,6,6
010419634002,2,5,5
010419635001,3,6,1
010419636001,0,5,1
010419636002,0,1,1
010419636003,0,6,1
010419637001,1,4,2
010419637002,0,4,1
010419638001,4,8,2
010419639001,0,3,2
010439641001,,0,0
010439641002,1,2,1
010439641003,1,8,1
010439641004,1,1,0
010439641005,1,3,1
010439642001,0,4,0
010439642002,0,3,0
010439642003,0,3,1
010439642004,0,7,0
010439642005,2,3,3
010439642006,,1,1
010439643002,1,6,1
010439643003,0,2,2
010439643004,0,3,0
010439644001,0,2,1
010439644002,1,7,2
010439645001,0,1,0
010439645002,2,2,1
010439645003,0,8,3
010439646001,1,1,0
010439646002,0,2,1
010439646003,2,2,0
010439647001,0,0,0
010439647002,0,2,0
010439647003,1,7,2
010439648001,0,2,0
010439648002,0,0,0
010439648004,0,2,
010439649001,0,4,1
010439649002,0,2,0
010439649003,0,8,0
010439649004,0,1,0
010439649005,0,2,0
010439649006,0,2,0
010439650001,,1,
010439650002,0,17,5
010439650003,0,3,0
010439650004,1,2,0
010439650005,0,0,0
010439650006,0,0,
010439651002,0,1,
010439652001,0,5,3
010439652002,1,2,0
010439653001,1,2,0
010439653002,0,7,0
010439653003,1,2,1
010439654011,2,14,6
010439654012,0,6,2
010439654021,0,2,1
010439654022,0,1,0
010439654023,0,3,1
010439654024,1,1,0
010439655001,0,4,1
010439655002,0,2,1
010439655003,0,6,2
010439656002,0,5,3
010439657001,0,4,1
010439657002,0,4,1
010450200001,0,0,0
010450200002,0,0,0
010450201001,0,3,1
010450201002,0,2,1
010450201003,1,2,1
010450202001,0,1,0
010450202002,0,2,1
010450203001,0,4,0
010450203002,0,2,1
010450204001,1,4,2
010450204002,0,1,0
010450205001,0,2,0
010450205002,0,2,0
010450205003,0,6,2
010450207001,0,8,3
010450207002,0,2,0
010450207003,2,16,1
010450207004,0,4,0
010450208011,0,3,0
010450208012,0,2,0
010450208021,0,2,1
010450208022,0,1,0
010450208023,,0,
010450208024,0,2,0
010450208025,0,0,0
010450211011,1,6,0
010450211012,0,2,0
010450211013,0,2,1
010450211021,0,2,0
010450211022,0,2,1
010450211023,0,5,0
010450211024,0,2,1
010450212001,1,6,1
010450212002,0,1,0
010450213001,0,1,0
010450213002,0,2,1
010450213003,0,1,0
010450213004,0,3,0
010450214001,0,1,0
010450214002,0,11,2
010450214003,0,2,0
010450214004,0,2,
010479561001,0,2,0
010479561002,0,2,1
010479561003,2,7,2
010479561004,0,6,0
010479561005,0,2,0
010479562011,0,5,1
010479562012,0,3,0
010479562021,0,5,2
010479562022,,2,0
010479563001,1,6,1
010479563002,0,1,0
010479564001,0,4,1
010479564002,1,3,1
010479564003,0,5,0
010479565001,0,2,0
010479565002,0,2,0
010479565003,0,13,3
010479565004,0,0,0
010479566001,0,1,0
010479566002,2,6,2
010479566003,0,3,1
010479566004,1,6,1
010479567011,0,5,2
010479567021,1,4,0
010479568001,0,8,0
010479568002,0,1,0
010479568003,0,0,0
010479569001,1,7,0
010479569002,0,8,0
010479570001,1,14,3
010479571001,0,3,1
010479571002,0,2,0
010479572001,1,2,1
010479572002,0,5,1
010479573001,1,10,1
010479573002,1,0,0
010479573003,,1,
010479573004,0,3,0
010499601001,1,5,2
010499601002,0,1,1
010499601003,0,0,0
010499601004,0,4,1
010499601005,,1,1
010499602001,2,16,4
010499602002,0,1,1
010499602003,0,7,1
010499603001,2,7,2
010499603002,1,0,0
010499603003,2,4,2
010499603004,1,9,3
010499603005,3,6,3
010499604001,2,1,
010499604002,1,2,1
010499604003,3,1,0
010499604004,2,8,3
010499604005,0,1,1
010499605001,1,5,1
010499605002,1,4,2
010499605003,1,1,1
010499605004,0,2,0
010499606001,0,0,0
010499606002,0,0,0
010499606003,1,10,3
010499606004,0,5,2
010499607001,2,6,1
010499607002,,1,0
010499607003,0,4,0
010499607004,2,5,0
010499608001,1,2,2
010499608002,0,3,1
010499608003,0,19,5
010499609001,0,3,0
010499609002,0,,
010499609003,0,2,0
010499609004,0,1,0
010499610001,,0,1
010499610002,4,10,5
010499610003,0,2,0
010499611001,1,7,2
010499611002,0,2,1
010499611003,0,2,0
010499612001,2,2,0
010499612002,,1,1
010499613001,1,4,1
010499613002,0,2,1
010499613003,0,1,0
010499613004,0,0,0
010499613005,0,1,1
010499614001,1,0,0
010499614002,0,4,3
010499614003,,2,1
010510301001,0,1,1
010510301002,0,1,1
010510301003,1,2,2
010510301004,1,2,0
010510302001,0,0,0
010510302003,0,2,1
010510302004,0,2,1
010510303001,1,4,0
010510303002,,1,0
010510304001,1,1,0
010510304002,0,5,2
010510304003,1,1,0
010510304004,0,4,0
010510304005,0,1,0
010510304006,0,10,5
010510305001,1,9,6
010510305002,2,5,1
010510305003,0,2,1
010510306001,0,2,0
010510306002,0,2,1
010510306003,0,11,2
010510307011,0,2,0
010510307012,0,1,1
010510307021,0,5,3
010510308001,0,2,1
010510308002,0,3,2
010510308003,0,4,0
010510308004,0,1,1
010510309011,,0,0
010510309012,0,1,0
010510309021,0,4,1
010510309022,0,1,0
010510309023,0,2,0
010510310001,0,9,1
010510310002,0,0,0
010510311001,0,2,0
010510311002,0,3,0
010510311003,0,1,1
010510312001,,1,
010510312002,0,3,1
010510313001,0,1,0
010510313002,1,3,0
010510313003,0,5,1
010539698001,0,3,2
010539698002,1,2,1
010539698003,0,2,1
010539698004,0,7,2
010539698005,0,0,0
010539699001,0,4,0
010539699002,0,4,3
010539699003,0,0,0
010539701001,0,0,0
010539701002,2,16,9
010539701003,,0,0
010539702001,0,1,1
010539702002,0,11,2
010539703001,1,12,5
010539703002,1,4,0
010539704001,0,1,0
010539704002,,0,0
010539704003,3,4,0
010539705001,1,15,1
010539705002,0,1,0
010539705003,1,3,0
010539705004,0,2,1
010539706001,0,0,0
010539706002,0,2,0
010539706003,0,2,0
010539706004,2,7,0
010539707001,0,4,0
010539707002,2,3,0
010539707003,1,1,0
010539707004,1,2,1
010550002001,0,2,0
010550002002,2,3,0
010550002003,0,1,0
010550003001,1,0,0
010550003002,1,4,1
010550003003,1,8,1
010550004001,0,1,0
010550004002,0,0,0
010550004003,0,1,0
010550004004,0,2,0
010550005001,1,3,0
010550005002,1,2,1
010550006001,0,4,1
010550006002,0,2,0
010550007001,0,5,0
010550007002,0,2,0
010550008001,1,3,0
010550008002,3,4,2
010550009001,1,1,0
010550009002,1,3,0
010550009003,0,0,0
010550009004,1,6,4
010550010001,2,5,0
010550011001,0,0,0
010550011002,0,0,0
010550011003,0,2,0
010550012001,1,10,2
010550012002,0,2,
010550012003,0,2,0
010550013001,1,3,0
010550013002,0,2,0
010550013003,2,2,0
010550016001,0,7,0
010550016002,0,1,0
010550016003,1,0,0
010550017001,1,6,1
010550017002,1,2,0
010550101001,1,1,1
010550101002,1,5,0
010550102001,0,1,1
010550102002,0,1,0
010550102003,0,1,0
010550102004,0,0,
010550102005,0,0,0
010550103001,1,5,0
010550103002,0,1,0
010550103003,0,4,0
010550104012,3,0,0
010550104013,0,1,0
010550104021,0,5,0
010550104022,1,1,0
010550105011,0,2,0
010550105012,0,1,0
010550105013,1,0,1
010550105014,0,1,0
010550105021,0,1,0
010550105022,1,5,0
010550105023,0,2,0
010550106011,1,7,0
010550106012,0,0,0
010550106013,1,0,0
010550106021,1,5,2
010550106022,0,3,0
010550107001,0,0,0
010550107002,2,5,0
010550108001,0,2,0
010550108002,2,1,0
010550109001,1,5,1
010550110011,0,0,0
010550110012,0,3,2
010550110013,0,0,0
010550110021,0,1,0
010550110022,,1,0
010550110023,0,1,0
010550111001,3,3,1
010550111002,0,1,0
010550111003,0,13,3
010550112001,0,3,1
010550112002,0,3,0
010550112003,0,1,
010570200001,1,,
010570200002,0,1,0
010570201001,0,3,0
010570201002,1,5,0
010570201003,0,4,0
010570202001,0,5,0
010570202002,1,2,0
010570202003,0,4,0
010570202004,0,3,0
010570203001,6,22,1
010570203002,0,1,
010570203003,0,3,0
010570203004,0,1,0
010570203005,0,2,0
010570204001,1,2,0
010570204002,2,8,0
010570204003,0,2,0
010570204004,,1,
010599729001,,0,
010599729002,1,8,2
010599729003,0,1,0
010599730001,,0,0
010599730002,0,3,0
010599730003,2,8,1
010599730004,0,2,0
010599731001,1,2,0
010599731002,2,6,1
010599732001,1,11,3
010599732002,0,4,0
010599732003,0,3,0
010599733002,,0,0
010599734001,0,0,0
010599734002,1,6,2
010599734003,,0,0
010599735001,,2,1
010599735002,0,2,0
010599735003,,0,0
010599736001,0,2,0
010599736002,1,5,0
010599737001,1,1,0
010599737002,4,13,1
010599737003,0,0,0
010599737004,0,,
010610501001,0,4,0
010610501002,2,1,0
010610501003,0,9,0
010610501004,0,0,0
010610502001,0,1,1
010610502002,0,2,2
010610503001,0,1,0
010610503002,0,7,0
010610503003,1,1,0
010610503004,0,7,0
010610503005,1,3,1
010610503006,0,3,0
010610504001,1,8,5
010610504002,0,5,3
010610504003,0,0,0
010610504004,0,5,1
010610504005,1,4,0
010610505001,0,1,0
010610505002,0,1,0
010610505003,0,1,
010610505004,0,3,0
010610506001,0,2,
010610506002,0,3,1
010610506003,1,10,4
010630600001,1,0,0
010630600002,1,1,
010630601001,,1,0
010630601002,0,2,0
010630601003,1,8,2
010630601004,0,1,0
010630601005,1,2,0
010630602001,0,10,1
010630602002,1,4,2
010630602003,,1,0
010650400001,4,11,1
010650400002,0,2,0
010650401001,2,5,1
010650402001,0,2,0
010650403001,0,2,1
010650403002,1,5,1
010650404001,0,4,1
010650404002,2,7,0
010650404003,,0,
010650404004,1,6,1
010650404005,0,0,0
010650405001,0,1,0
010650405002,0,1,0
010670301001,0,2,0
010670301002,0,1,1
010670302001,2,3,0
010670302002,0,9,3
010670302003,0,2,1
010670303001,0,1,0
010670303002,4,6,0
010670303003,0,0,0
010670304001,2,6,0
010670304002,0,0,0
010670305001,1,4,1
010670305002,1,1,0
010670305003,0,6,3
010670305004,0,1,0
010670306001,,1,
010670306002,0,3,1
010690401001,0,5,1
010690401002,1,15,2
010690401003,0,5,0
010690402011,1,7,0
010690402012,0,3,1
010690402013,,3,0
010690402021,1,3,1
010690402022,0,4,1
010690402023,1,4,1
010690402024,0,2,0
010690403011,0,7,0
010690403012,3,4,0
010690403013,0,1,0
010690403021,0,1,0
010690403022,1,0,0
010690404001,1,4,0
010690404002,0,1,0
010690404003,2,8,1
010690405001,0,2,1
010690405002,0,,
010690405003,1,1,0
010690406001,0,14,4
010690406002,0,2,0
010690406003,0,3,1
010690407001,0,0,0
010690407002,0,3,0
010690408001,0,4,1
010690408002,0,2,0
010690408003,0,1,1
010690408004,0,5,2
010690409001,1,0,0
010690409002,2,9,3
010690410001,0,5,1
010690410002,1,3,1
010690410003,1,5,1
010690411001,0,5,1
010690411002,1,1,0
010690411003,0,11,3
010690412001,0,7,1
010690412002,2,5,1
010690414001,0,6,0
010690414002,0,2,0
010690414003,0,3,0
010690415001,0,3,0
010690415002,1,7,1
010690415003,0,4,0
010690415004,0,3,1
010690415005,0,5,0
010690416001,0,3,0
010690416002,,0,
010690416003,0,6,2
010690416004,0,0,0
010690417001,1,1,1
010690417002,0,6,3
010690418001,1,5,0
010690418002,1,5,1
010690419001,0,1,1
010690419002,,3,0
010690419003,1,4,0
010690419004,5,7,1
010690419005,0,2,0
010690419006,0,1,0
010690420001,0,0,2
010690420002,0,4,1
010690420003,1,2,1
010690420004,1,4,1
010690421001,1,1,0
010690421002,0,2,1
010690421003,0,3,1
010690421004,0,2,0
010719501001,1,6,1
010719501002,1,0,0
010719501004,0,1,0
010719501005,1,9,3
010719502001,0,1,0
010719502002,0,,
010719502003,0,4,1
010719502004,0,,
010719503001,1,3,2
010719503002,1,3,0
010719503003,2,9,0
010719503004,2,4,0
010719503005,,0,0
